sold:Aruncare 1 : <4, 6> - pierdere
Aruncare 2 : <1, 3> - pierdere
Aruncare 3 : <4, 1> - pierdere
Aruncare 4 : <2, 1> - pierdere
Aruncare 5 : <2, 2> - pierdere
Aruncare 6 : <6, 2> - pierdere
Aruncare 7 : <6, 5> - pierdere
Aruncare 8 : <2, 4> - pierdere
Aruncare 9 : <6, 3> - pierdere
Aruncare 10 : <5, 2> - castig
Aruncare 11 : <6, 4> - pierdere
Aruncare 12 : <6, 3> - pierdere
Aruncare 13 : <1, 4> - pierdere
Aruncare 14 : <2, 4> - pierdere
Aruncare 15 : <5, 2> - castig
Aruncare 16 : <1, 1> - pierdere
Aruncare 17 : <5, 3> - pierdere
Aruncare 18 : <6, 6> - pierdere
Aruncare 19 : <1, 4> - pierdere
Aruncare 20 : <2, 3> - pierdere
Aruncare 21 : <6, 3> - pierdere
Aruncare 22 : <2, 3> - pierdere
Aruncare 23 : <1, 6> - castig
Aruncare 24 : <3, 3> - pierdere
Aruncare 25 : <2, 1> - pierdere
Aruncare 26 : <1, 1> - pierdere
Aruncare 27 : <1, 2> - pierdere
Aruncare 28 : <5, 5> - pierdere
Aruncare 29 : <5, 4> - pierdere
Aruncare 30 : <6, 5> - pierdere
Aruncare 31 : <1, 2> - pierdere
Aruncare 32 : <5, 3> - pierdere
Aruncare 33 : <6, 1> - castig
Aruncare 34 : <2, 6> - pierdere
Aruncare 35 : <3, 4> - castig
Aruncare 36 : <5, 4> - pierdere
Aruncare 37 : <3, 4> - castig
Aruncare 38 : <6, 2> - pierdere
Aruncare 39 : <4, 5> - pierdere
Aruncare 40 : <2, 5> - castig
Aruncare 41 : <3, 6> - pierdere
Aruncare 42 : <1, 4> - pierdere
Aruncare 43 : <5, 4> - pierdere
Aruncare 44 : <6, 2> - pierdere
Aruncare 45 : <4, 4> - pierdere
Aruncare 46 : <1, 3> - pierdere
Aruncare 47 : <5, 3> - pierdere
Aruncare 48 : <5, 1> - pierdere
Aruncare 49 : <4, 6> - pierdere
Aruncare 50 : <4, 3> - castig
Aruncare 51 : <4, 1> - pierdere
Aruncare 52 : <1, 5> - pierdere
Aruncare 53 : <3, 5> - pierdere
Aruncare 54 : <2, 1> - pierdere
Aruncare 55 : <6, 4> - pierdere
Aruncare 56 : <3, 3> - pierdere
Aruncare 57 : <1, 5> - pierdere
Aruncare 58 : <2, 2> - pierdere
Aruncare 59 : <5, 3> - pierdere
Aruncare 60 : <5, 2> - castig
Aruncare 61 : <4, 4> - pierdere
Aruncare 62 : <1, 4> - pierdere
Aruncare 63 : <6, 4> - pierdere
Aruncare 64 : <3, 4> - castig
Aruncare 65 : <6, 2> - pierdere
Aruncare 66 : <2, 5> - castig
Aruncare 67 : <3, 1> - pierdere
Aruncare 68 : <4, 4> - pierdere
Aruncare 69 : <6, 5> - pierdere
Aruncare 70 : <4, 6> - pierdere
Aruncare 71 : <1, 2> - pierdere
Aruncare 72 : <2, 4> - pierdere
Aruncare 73 : <2, 3> - pierdere
Aruncare 74 : <4, 1> - pierdere
Aruncare 75 : <6, 4> - pierdere
Aruncare 76 : <1, 1> - pierdere
Aruncare 77 : <3, 2> - pierdere
Aruncare 78 : <2, 2> - pierdere
Aruncare 79 : <4, 6> - pierdere
Aruncare 80 : <4, 3> - castig
Aruncare 81 : <1, 3> - pierdere
Aruncare 82 : <3, 5> - pierdere
Aruncare 83 : <3, 5> - pierdere
Aruncare 84 : <4, 4> - pierdere
Aruncare 85 : <3, 1> - pierdere
Aruncare 86 : <6, 4> - pierdere
Aruncare 87 : <3, 6> - pierdere
Aruncare 88 : <6, 3> - pierdere
Aruncare 89 : <4, 2> - pierdere
Aruncare 90 : <2, 2> - pierdere
Aruncare 91 : <1, 1> - pierdere
Aruncare 92 : <3, 6> - pierdere
Aruncare 93 : <3, 3> - pierdere
Aruncare 94 : <3, 1> - pierdere
Aruncare 95 : <5, 3> - pierdere
Aruncare 96 : <1, 1> - pierdere
Aruncare 97 : <2, 6> - pierdere
Aruncare 98 : <1, 5> - pierdere
Aruncare 99 : <6, 3> - pierdere
Aruncare 100 : <5, 5> - pierdere
Aruncare 101 : <1, 6> - castig
Aruncare 102 : <6, 4> - pierdere
Aruncare 103 : <1, 3> - pierdere
Aruncare 104 : <2, 1> - pierdere
Aruncare 105 : <1, 6> - castig
Aruncare 106 : <5, 3> - pierdere
Aruncare 107 : <4, 3> - castig
Aruncare 108 : <6, 1> - castig
Aruncare 109 : <4, 6> - pierdere
Aruncare 110 : <6, 6> - pierdere
Aruncare 111 : <2, 2> - pierdere
Aruncare 112 : <6, 2> - pierdere
Aruncare 113 : <4, 4> - pierdere
Aruncare 114 : <3, 2> - pierdere
Aruncare 115 : <1, 3> - pierdere
Aruncare 116 : <3, 1> - pierdere
Aruncare 117 : <2, 2> - pierdere
Aruncare 118 : <3, 1> - pierdere
Aruncare 119 : <2, 1> - pierdere
Aruncare 120 : <2, 4> - pierdere
Aruncare 121 : <3, 2> - pierdere
Aruncare 122 : <5, 1> - pierdere
Aruncare 123 : <3, 1> - pierdere
Aruncare 124 : <4, 2> - pierdere
Aruncare 125 : <3, 1> - pierdere
Aruncare 126 : <2, 6> - pierdere
Aruncare 127 : <6, 2> - pierdere
Aruncare 128 : <1, 5> - pierdere
Aruncare 129 : <6, 1> - castig
Aruncare 130 : <6, 3> - pierdere
Aruncare 131 : <3, 5> - pierdere
Aruncare 132 : <6, 6> - pierdere
Aruncare 133 : <3, 5> - pierdere
Aruncare 134 : <5, 5> - pierdere
Aruncare 135 : <2, 5> - castig
Aruncare 136 : <2, 5> - castig
Aruncare 137 : <4, 1> - pierdere
Aruncare 138 : <1, 3> - pierdere
Aruncare 139 : <5, 3> - pierdere
Aruncare 140 : <5, 2> - castig
Aruncare 141 : <2, 3> - pierdere
Aruncare 142 : <5, 4> - pierdere
Aruncare 143 : <1, 1> - pierdere
Aruncare 144 : <2, 3> - pierdere
Aruncare 145 : <2, 5> - castig
Aruncare 146 : <1, 5> - pierdere
Aruncare 147 : <3, 2> - pierdere
Aruncare 148 : <5, 3> - pierdere
Aruncare 149 : <2, 5> - castig
Aruncare 150 : <6, 3> - pierdere
Aruncare 151 : <2, 1> - pierdere
Aruncare 152 : <1, 5> - pierdere
Aruncare 153 : <5, 1> - pierdere
Aruncare 154 : <2, 5> - castig
Aruncare 155 : <6, 1> - castig
Aruncare 156 : <4, 2> - pierdere
Aruncare 157 : <5, 3> - pierdere
Aruncare 158 : <5, 3> - pierdere
Aruncare 159 : <2, 2> - pierdere
Aruncare 160 : <5, 6> - pierdere
Aruncare 161 : <4, 4> - pierdere
Aruncare 162 : <4, 3> - castig
Aruncare 163 : <5, 1> - pierdere
Aruncare 164 : <6, 2> - pierdere
Aruncare 165 : <2, 2> - pierdere
Aruncare 166 : <5, 1> - pierdere
Aruncare 167 : <5, 5> - pierdere
Aruncare 168 : <3, 2> - pierdere
Aruncare 169 : <2, 1> - pierdere
Aruncare 170 : <6, 2> - pierdere
Aruncare 171 : <2, 2> - pierdere
Aruncare 172 : <4, 1> - pierdere
Aruncare 173 : <4, 6> - pierdere
Aruncare 174 : <2, 3> - pierdere
Aruncare 175 : <1, 5> - pierdere
Jucatorul a pierdut toti banii dupa 175 aruncari. Suma maxima pe care a castigat-o in acest joc este 500 RON
