sold:Aruncare 1 : <5, 2> - castig
Aruncare 2 : <1, 3> - pierdere
Aruncare 3 : <2, 5> - castig
Aruncare 4 : <1, 5> - pierdere
Aruncare 5 : <5, 3> - pierdere
Aruncare 6 : <4, 2> - pierdere
Aruncare 7 : <1, 4> - pierdere
Aruncare 8 : <4, 1> - pierdere
Aruncare 9 : <6, 3> - pierdere
Aruncare 10 : <6, 5> - pierdere
Aruncare 11 : <1, 6> - castig
Aruncare 12 : <4, 2> - pierdere
Aruncare 13 : <2, 4> - pierdere
Aruncare 14 : <1, 2> - pierdere
Aruncare 15 : <1, 2> - pierdere
Aruncare 16 : <2, 2> - pierdere
Aruncare 17 : <1, 3> - pierdere
Aruncare 18 : <4, 5> - pierdere
Aruncare 19 : <4, 6> - pierdere
Aruncare 20 : <6, 3> - pierdere
Aruncare 21 : <5, 2> - castig
Aruncare 22 : <6, 1> - castig
Aruncare 23 : <6, 6> - pierdere
Aruncare 24 : <5, 2> - castig
Aruncare 25 : <5, 3> - pierdere
Aruncare 26 : <6, 1> - castig
Aruncare 27 : <2, 1> - pierdere
Aruncare 28 : <3, 1> - pierdere
Aruncare 29 : <5, 6> - pierdere
Aruncare 30 : <4, 4> - pierdere
Aruncare 31 : <3, 2> - pierdere
Aruncare 32 : <1, 6> - castig
Aruncare 33 : <4, 2> - pierdere
Aruncare 34 : <6, 5> - pierdere
Aruncare 35 : <3, 2> - pierdere
Aruncare 36 : <2, 5> - castig
Aruncare 37 : <1, 2> - pierdere
Aruncare 38 : <3, 4> - castig
Aruncare 39 : <3, 6> - pierdere
Aruncare 40 : <2, 6> - pierdere
Aruncare 41 : <3, 6> - pierdere
Aruncare 42 : <4, 6> - pierdere
Aruncare 43 : <5, 1> - pierdere
Aruncare 44 : <2, 2> - pierdere
Aruncare 45 : <6, 5> - pierdere
Aruncare 46 : <5, 2> - castig
Aruncare 47 : <2, 3> - pierdere
Aruncare 48 : <3, 1> - pierdere
Aruncare 49 : <6, 2> - pierdere
Aruncare 50 : <1, 3> - pierdere
Aruncare 51 : <1, 3> - pierdere
Aruncare 52 : <1, 1> - pierdere
Aruncare 53 : <6, 5> - pierdere
Aruncare 54 : <5, 4> - pierdere
Aruncare 55 : <5, 1> - pierdere
Aruncare 56 : <3, 1> - pierdere
Aruncare 57 : <2, 3> - pierdere
Aruncare 58 : <5, 5> - pierdere
Aruncare 59 : <6, 5> - pierdere
Aruncare 60 : <2, 5> - castig
Aruncare 61 : <1, 4> - pierdere
Aruncare 62 : <2, 1> - pierdere
Aruncare 63 : <3, 1> - pierdere
Aruncare 64 : <6, 2> - pierdere
Aruncare 65 : <6, 6> - pierdere
Aruncare 66 : <6, 4> - pierdere
Aruncare 67 : <3, 6> - pierdere
Aruncare 68 : <2, 4> - pierdere
Aruncare 69 : <1, 2> - pierdere
Aruncare 70 : <4, 5> - pierdere
Aruncare 71 : <5, 1> - pierdere
Aruncare 72 : <5, 4> - pierdere
Aruncare 73 : <5, 1> - pierdere
Aruncare 74 : <3, 1> - pierdere
Aruncare 75 : <2, 5> - castig
Aruncare 76 : <2, 2> - pierdere
Aruncare 77 : <1, 1> - pierdere
Aruncare 78 : <2, 2> - pierdere
Aruncare 79 : <4, 6> - pierdere
Aruncare 80 : <3, 6> - pierdere
Aruncare 81 : <5, 4> - pierdere
Aruncare 82 : <4, 1> - pierdere
Aruncare 83 : <2, 5> - castig
Aruncare 84 : <3, 6> - pierdere
Aruncare 85 : <4, 1> - pierdere
Aruncare 86 : <4, 4> - pierdere
Aruncare 87 : <6, 1> - castig
Aruncare 88 : <2, 6> - pierdere
Aruncare 89 : <1, 1> - pierdere
Aruncare 90 : <5, 1> - pierdere
Aruncare 91 : <5, 4> - pierdere
Aruncare 92 : <5, 6> - pierdere
Aruncare 93 : <1, 1> - pierdere
Aruncare 94 : <2, 3> - pierdere
Aruncare 95 : <6, 2> - pierdere
Aruncare 96 : <6, 5> - pierdere
Aruncare 97 : <5, 6> - pierdere
Aruncare 98 : <3, 2> - pierdere
Aruncare 99 : <2, 5> - castig
Aruncare 100 : <3, 6> - pierdere
Aruncare 101 : <3, 6> - pierdere
Aruncare 102 : <6, 3> - pierdere
Aruncare 103 : <1, 6> - castig
Aruncare 104 : <3, 5> - pierdere
Aruncare 105 : <4, 1> - pierdere
Aruncare 106 : <5, 4> - pierdere
Aruncare 107 : <6, 4> - pierdere
Aruncare 108 : <3, 6> - pierdere
Aruncare 109 : <5, 4> - pierdere
Aruncare 110 : <2, 6> - pierdere
Aruncare 111 : <1, 4> - pierdere
Aruncare 112 : <2, 6> - pierdere
Aruncare 113 : <1, 4> - pierdere
Aruncare 114 : <3, 3> - pierdere
Aruncare 115 : <6, 3> - pierdere
Aruncare 116 : <5, 1> - pierdere
Aruncare 117 : <2, 1> - pierdere
Aruncare 118 : <6, 3> - pierdere
Aruncare 119 : <5, 6> - pierdere
Aruncare 120 : <2, 3> - pierdere
Aruncare 121 : <5, 3> - pierdere
Aruncare 122 : <1, 6> - castig
Aruncare 123 : <4, 1> - pierdere
Aruncare 124 : <4, 1> - pierdere
Aruncare 125 : <3, 3> - pierdere
Aruncare 126 : <6, 5> - pierdere
Aruncare 127 : <6, 2> - pierdere
Aruncare 128 : <4, 4> - pierdere
Aruncare 129 : <5, 3> - pierdere
Aruncare 130 : <1, 6> - castig
Aruncare 131 : <3, 2> - pierdere
Aruncare 132 : <3, 6> - pierdere
Aruncare 133 : <2, 5> - castig
Aruncare 134 : <6, 3> - pierdere
Aruncare 135 : <6, 2> - pierdere
Aruncare 136 : <4, 6> - pierdere
Aruncare 137 : <6, 4> - pierdere
Aruncare 138 : <2, 2> - pierdere
Aruncare 139 : <3, 1> - pierdere
Aruncare 140 : <4, 2> - pierdere
Aruncare 141 : <5, 1> - pierdere
Aruncare 142 : <6, 6> - pierdere
Aruncare 143 : <1, 6> - castig
Aruncare 144 : <6, 2> - pierdere
Aruncare 145 : <3, 5> - pierdere
Aruncare 146 : <1, 6> - castig
Aruncare 147 : <5, 6> - pierdere
Aruncare 148 : <6, 2> - pierdere
Aruncare 149 : <6, 2> - pierdere
Aruncare 150 : <3, 4> - castig
Aruncare 151 : <4, 3> - castig
Aruncare 152 : <3, 5> - pierdere
Aruncare 153 : <2, 2> - pierdere
Aruncare 154 : <6, 3> - pierdere
Aruncare 155 : <3, 4> - castig
Aruncare 156 : <6, 6> - pierdere
Aruncare 157 : <1, 1> - pierdere
Aruncare 158 : <5, 3> - pierdere
Aruncare 159 : <3, 6> - pierdere
Aruncare 160 : <3, 6> - pierdere
Aruncare 161 : <6, 2> - pierdere
Aruncare 162 : <6, 6> - pierdere
Aruncare 163 : <4, 4> - pierdere
Aruncare 164 : <5, 2> - castig
Aruncare 165 : <6, 6> - pierdere
Aruncare 166 : <5, 2> - castig
Aruncare 167 : <2, 5> - castig
Aruncare 168 : <2, 1> - pierdere
Aruncare 169 : <1, 4> - pierdere
Aruncare 170 : <5, 5> - pierdere
Aruncare 171 : <5, 3> - pierdere
Aruncare 172 : <4, 1> - pierdere
Aruncare 173 : <6, 1> - castig
Aruncare 174 : <1, 1> - pierdere
Aruncare 175 : <5, 2> - castig
Aruncare 176 : <1, 3> - pierdere
Aruncare 177 : <2, 3> - pierdere
Aruncare 178 : <1, 1> - pierdere
Aruncare 179 : <1, 1> - pierdere
Aruncare 180 : <5, 2> - castig
Aruncare 181 : <1, 1> - pierdere
Aruncare 182 : <3, 5> - pierdere
Aruncare 183 : <5, 5> - pierdere
Aruncare 184 : <2, 2> - pierdere
Aruncare 185 : <4, 3> - castig
Aruncare 186 : <4, 4> - pierdere
Aruncare 187 : <4, 4> - pierdere
Aruncare 188 : <5, 3> - pierdere
Aruncare 189 : <4, 4> - pierdere
Jucatorul a pierdut toti banii dupa 189 aruncari. Suma maxima pe care a castigat-o in acest joc este 504 RON
